start_lr,seed,epoch,epoch_lr,train_loss,test_loss,test_correct,test_accuracy,epoch_time_sec
0.002154434690031884,1,5,,0.17579304174184798,0.15062847442626953,9551,95.51,21.696358680725098
0.002154434690031884,1,6,,0.15319277069568635,0.15280189208984374,9541,95.41,21.79233694076538
0.002154434690031884,1,7,,0.136218077814579,0.12367216835021973,9644,96.44,22.041706562042236
0.002154434690031884,1,8,,0.12253949940005938,0.13202661323547363,9602,96.02,21.530489444732666
0.002154434690031884,1,9,,0.11068982132176558,0.11054749603271484,9660,96.6,21.46703267097473
0.002154434690031884,1,10,,0.10274117124875387,0.09410878715515136,9719,97.19,21.500089168548584
0.002154434690031884,2,1,,0.953318188794454,0.33570213623046874,9049,90.49,34.23788928985596
0.002154434690031884,2,2,,0.31371914297739667,0.267582608795166,9237,92.37,22.225727319717407
0.002154434690031884,2,3,,0.25804513624509173,0.22844848403930665,9341,93.41,21.900160312652588
0.002154434690031884,2,4,,0.21919933119217555,0.19662937850952147,9417,94.17,21.911045789718628
0.002154434690031884,2,5,,0.1889288911898931,0.17357706985473634,9467,94.67,21.943011045455933
0.002154434690031884,2,6,,0.1658226218163967,0.15174207916259766,9564,95.64,21.905041933059692
0.002154434690031884,2,7,,0.14663810560703278,0.14043868446350097,9582,95.82,21.883641719818115
0.002154434690031884,2,8,,0.13172119739254315,0.12332678833007812,9623,96.23,21.934406757354736
0.002154434690031884,2,9,,0.11919815135995547,0.1134187873840332,9650,96.5,22.02725601196289
0.002154434690031884,2,10,,0.10820138356486957,0.10543995895385742,9688,96.88,22.218953371047974
0.002154434690031884,3,1,,0.9104507816791534,0.3359323348999023,9026,90.26,33.76614737510681
0.002154434690031884,3,2,,0.308561794424057,0.2571995132446289,9274,92.74,21.739213228225708
0.002154434690031884,3,3,,0.25111134605407714,0.23197348098754883,9313,93.13,21.7468478679657
0.002154434690031884,3,4,,0.21114386190573375,0.1820715316772461,9474,94.74,21.7815523147583
0.002154434690031884,3,5,,0.17949757041533787,0.1589237377166748,9539,95.39,21.805744171142578
