recon_scaler,epoch,train_class_loss,train_recon_loss,test_loss,test_accuracy
3.593813663804626,1,0.18102203404951864,0.012700757919761068,0.04743807182312012,98.62
3.593813663804626,2,0.06708271771288121,0.004867958224146192,0.03548947658538818,98.85
3.593813663804626,3,0.04944149395753778,0.0037525920974297213,0.032982622146606445,98.85
3.593813663804626,4,0.040282471994333255,0.003306771864367923,0.02808368434906006,98.98
3.593813663804626,5,0.035203622097942804,0.0030831693828518966,0.026142418479919435,99.08
3.593813663804626,6,0.03218260666440879,0.0029489785243671683,0.026839202117919923,99.05
3.593813663804626,7,0.029913818550063795,0.0028365042628045243,0.02658433074951172,99.11
3.593813663804626,8,0.02811922169643452,0.0027645444162368677,0.025490358448028563,99.13
3.593813663804626,9,0.027911427915582796,0.0027311697425042736,0.025361549758911132,99.11
3.593813663804626,10,0.02716130899788657,0.0026909981480440193,0.025292733383178712,99.14
3.593813663804626,11,0.02728371807500156,0.002641230174995609,0.025051516437530518,99.11
3.593813663804626,12,0.026947014732906886,0.0026236635929188018,0.025093717288970946,99.08
3.593813663804626,13,0.02544156118572356,0.0026701024628238384,0.02494211654663086,99.09
3.593813663804626,14,0.02488920389671377,0.0026804458718302088,0.024927886962890625,99.1
10.0,1,0.19412675296077564,0.006181384262287302,0.05213813133239746,98.51
10.0,2,0.06985584547324206,0.00228148180286962,0.0366237850189209,98.88
10.0,3,0.05143604807154552,0.0017514938039572112,0.03569823551177979,98.78
10.0,4,0.04252631038969466,0.0015190883076934417,0.029140974044799806,98.94
10.0,5,0.03844694549596108,0.0013913738239469176,0.026450528717041014,99.1
10.0,6,0.03492337542631701,0.00132785671152798,0.027469125556945802,99.07
10.0,7,0.03253292738904815,0.0012748517033491116,0.02677740592956543,99.09
10.0,8,0.03037762850275271,0.0012552208033328786,0.025884270286560058,99.12
10.0,9,0.03073769964032999,0.0012298179679919583,0.025550568199157714,99.09
10.0,10,0.029546826279092667,0.0012102125034824426,0.025507600116729735,99.09
10.0,11,0.029972643629441274,0.001188725837122109,0.025315357875823976,99.08
10.0,12,0.029280795388470796,0.0011869599741857761,0.025219121265411377,99.09
10.0,13,0.02827623636009537,0.0011965866246050213,0.025205215549468994,99.08
10.0,14,0.027455149999961678,0.0011959038910640677,0.025206063079833984,99.06
